DATAS;Open;High;Low;Close;Volume;Adjusted
04/01/2010;68587;70080;68587;70045;4090040923;70045
05/01/2010;70045;70594;69927;70239;5291956235;70239
06/01/2010;70236;70936;70016;70729;5347834233;70729
07/01/2010;70722;70722;70045;70451;4432724591;70451
08/01/2010;70455;70765;70158;70262;4366167989;70262
11/01/2010;70267;71068;70158;70433;4133910740;70433
12/01/2010;70428;70428;69284;70075;4275255029;70075
13/01/2010;70080;70626;69535;70385;4933125385;70385
14/01/2010;70376;70508;69661;69801;4997297754;69801
15/01/2010;69779;69787;68695;68978;4762878517;68978
18/01/2010;68983;69748;68983;69400;3215670894;69400
19/01/2010;69396;70036;68867;69908;3904477959;69908
20/01/2010;69901;69901;67546;68200;5129431167;68200
21/01/2010;68200;68458;65996;66270;5855884942;66270
22/01/2010;66263;66660;65445;66220;5519219327;66220
26/01/2010;66212;66212;64718;65523;5070391191;65523
27/01/2010;65527;65663;64553;65069;4770545818;65069
28/01/2010;65071;66049;64541;65587;4289017605;65587
29/01/2010;65591;66575;65140;65401;4863500475;65401
01/02/2010;65402;66763;65361;66571;4333211306;66571
02/02/2010;66588;67320;66538;67163;4107745632;67163
03/02/2010;67163;67346;66774;67108;4452461318;67108
04/02/2010;67100;67100;63749;63934;5750446301;63934
05/02/2010;63934;64000;61341;62762;6866149389;62762
08/02/2010;62759;63922;62727;63153;4571245732;63153
09/02/2010;63163;65525;63163;64718;5783735541;64718
10/02/2010;64721;65169;64320;65051;4232616934;65051
11/02/2010;65049;66145;64344;66128;5498839904;66128
12/02/2010;66128;66128;64965;65854;3979614467;65854
17/02/2010;65863;67542;65863;67284;4200304172;67284
18/02/2010;67284;67836;66550;67836;4068338501;67836
19/02/2010;67810;67935;67210;67597;3608861429;67597
22/02/2010;67598;68119;67035;67184;4028345459;67184
23/02/2010;67178;67178;65660;66108;4428962294;66108
24/02/2010;66110;66513;65534;65794;3842718676;65794
25/02/2010;65765;66324;64428;66121;4701898138;66121
