DATA;Open;High;Low;Close;Volume;Adjusted
04/01/2010;7,604305149;7,701237019;7,541299434;7,63338471;22873698;7,63338471
05/01/2010;7,643077897;7,652771084;7,36682207;7,36682207;43900354;7,36682207
06/01/2010;7,410441411;7,415288004;7,177804924;7,226270859;58960336;7,226270859
07/01/2010;7,226270859;7,376515257;7,148725364;7,221424266;40865094;7,221424266
08/01/2010;7,2698902;7,308662948;7,153571957;7,245657233;24583551;7,245657233
11/01/2010;7,294123168;7,352282289;7,187498111;7,2698902;19597226;7,2698902
12/01/2010;7,192344705;7,38136185;7,080873055;7,38136185;28040235;7,38136185
13/01/2010;7,391055037;7,473447126;7,231117453;7,458907345;26932715;7,458907345
14/01/2010;7,36682207;7,463753939;7,294123168;7,332895915;20929288;7,332895915
15/01/2010;7,240810639;7,294123168;7,148725364;7,250503826;21372266;7,250503826
18/01/2010;7,2698902;7,328049322;7,076026462;7,076026462;36321922;7,076026462
19/01/2010;7,027560527;7,163265144;6,872469536;7,148725364;32917011;7,148725364
20/01/2010;7,042100307;7,046946901;6,794924041;6,853083162;41779171;6,853083162
21/01/2010;6,882162723;6,882162723;6,494435246;6,688298984;49896948;6,688298984
22/01/2010;6,557440961;6,678605797;6,470202278;6,504128433;33710685;6,504128433
26/01/2010;6,450815904;6,465355685;6,208486231;6,421736344;30355278;6,421736344
27/01/2010;6,470202278;6,557440961;6,256952166;6,504128433;32544875;6,504128433
28/01/2010;6,596213708;6,610753489;6,266645353;6,324804474;30598696;6,324804474
29/01/2010;6,349037442;6,649526237;6,339344255;6,412043157;40161071;6,412043157
01/02/2010;6,450815904;6,533207993;6,324804474;6,518668213;21455012;6,518668213
02/02/2010;6,54290118;6,688298984;6,538054587;6,688298984;31222375;6,688298984
03/02/2010;6,683452391;6,882162723;6,659219423;6,848236569;60246142;6,848236569
04/02/2010;6,785230854;6,785230854;6,349037442;6,407196563;29953170;6,407196563
05/02/2010;6,300571507;6,382963596;6,000082712;6,106707768;55318881;6,106707768
08/02/2010;6,184253264;6,247258979;5,937076997;5,946770184;48740122;5,946770184
09/02/2010;6,058241834;6,373270409;6,034008866;6,203639638;55845871;6,203639638
10/02/2010;6,300571507;6,300571507;6,058241834;6,213332825;24720237;6,213332825
11/02/2010;6,160020296;6,368423815;6,145480516;6,368423815;47491093;6,368423815
12/02/2010;6,300571507;6,358730629;5,937076997;6,256952166;32500212;6,256952166
17/02/2010;6,387810189;6,499281839;6,378117002;6,475048872;28987597;6,475048872
18/02/2010;6,460509091;6,484742059;6,334497661;6,407196563;26727105;6,407196563
19/02/2010;6,373270409;6,421736344;6,281185133;6,421736344;28099549;6,421736344
22/02/2010;6,470202278;6,601060302;6,436276124;6,504128433;51470449;6,504128433
23/02/2010;6,484742059;6,484742059;6,295724913;6,470202278;40551318;6,470202278
24/02/2010;6,499281839;6,513821619;6,237565792;6,256952166;28439653;6,256952166
25/02/2010;6,150327109;6,319957881;6,106707768;6,252105572;30938931;6,252105572
26/02/2010;6,266645353;6,300571507;6,135787329;6,300571507;17496803;6,300571507
01/03/2010;6,344190848;6,508975026;6,329651068;6,489588652;20922108;6,489588652
02/03/2010;6,504128433;6,586520521;6,445969311;6,54290118;28705986;6,54290118
03/03/2010;6,567134148;6,673759204;6,407196563;6,407196563;50057068;6,407196563
04/03/2010;6,441122717;6,538054587;6,3054181;6,460509091;39687574;6,460509091
05/03/2010;6,54290118;6,625293269;6,431429531;6,431429531;41960183;6,431429531
08/03/2010;6,470202278;6,533207993;6,329651068;6,41688975;40791512;6,41688975
09/03/2010;6,373270409;6,508975026;6,349037442;6,421736344;30550669;6,421736344
10/03/2010;6,484742059;6,576827335;6,421736344;6,513821619;26504035;6,513821619
11/03/2010;6,494435246;6,601060302;6,455662498;6,601060302;20849971;6,601060302
12/03/2010;6,78038426;6,785230854;6,664066017;6,712531952;67381204;6,712531952
15/03/2010;6,683452391;6,717378545;6,387810189;6,40234997;64968125;6,40234997
16/03/2010;6,450815904;6,567134148;6,426582937;6,552594367;30588845;6,552594367
17/03/2010;6,601060302;6,630139863;6,421736344;6,518668213;47245659;6,518668213
18/03/2010;6,518668213;6,615600082;6,465355685;6,615600082;32577887;6,615600082
19/03/2010;6,567134148;6,596213708;6,426582937;6,445969311;27173200;6,445969311
22/03/2010;6,418204615;6,554451567;6,204102263;6,330617289;26037835;6,330617289
23/03/2010;6,379276915;6,42793654;6,330617289;6,364679027;29102306;6,364679027
24/03/2010;6,325751327;6,398740765;6,189504375;6,189504375;27188219;6,189504375
25/03/2010;6,277091701;6,340349214;6,233298038;6,267359776;26448481;6,267359776
26/03/2010;6,277091701;6,345215177;6,204102263;6,228432075;24306205;6,228432075
29/03/2010;6,277091701;6,496060016;6,277091701;6,496060016;22121077;6,496060016
30/03/2010;6,471730203;6,496060016;6,354947102;6,398740765;24907135;6,398740765
31/03/2010;6,364679027;6,457132316;6,311153439;6,447400391;22836596;6,447400391
01/04/2010;6,481462128;6,534987717;6,325751327;6,364679027;19285228;6,364679027
05/04/2010;6,423070578;6,461998278;6,364679027;6,437668465;15927205;6,437668465
06/04/2010;6,40847269;6,491194054;6,335483252;6,486328091;28813764;6,486328091
07/04/2010;6,457132316;6,569049454;6,413338653;6,569049454;29643999;6,569049454
08/04/2010;6,539853679;6,612843118;6,476596166;6,515523866;23931811;6,515523866
09/04/2010;6,554451567;6,554451567;6,345215177;6,413338653;30183753;6,413338653
12/04/2010;6,40847269;6,496060016;6,374410952;6,432802503;26545733;6,432802503
13/04/2010;6,418204615;6,491194054;6,330617289;6,38900884;34672012;6,38900884
14/04/2010;6,398740765;6,447400391;6,291689589;6,345215177;24390571;6,345215177
15/04/2010;6,374410952;6,398740765;6,301421514;6,301421514;14616130;6,301421514
16/04/2010;6,252761888;6,291689589;6,082453199;6,155442637;26599739;6,155442637
19/04/2010;6,101917049;6,155442637;6,033793573;6,082453199;19395403;6,082453199
